m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,-4.99867e+13,-5.55267e+12,5.55267e+12,1231.4,267.063,-267.063,5.7068e-05,1.23946e-05,-1.23946e-05
2e+30,-4.99858e+13,-5.55257e+12,1.66614e+13,1313.29,276.236,-489.531,6.0864e-05,1.28208e-05,-2.27029e-05
2e+30,-4.99856e+13,-5.55255e+12,2.77703e+13,1327.63,277.423,-691.635,6.15295e-05,1.2876e-05,-3.20658e-05
2e+30,-4.99861e+13,-5.5526e+12,3.88791e+13,1282.76,273.341,-900.022,5.94509e-05,1.26866e-05,-4.1719e-05
2e+30,-4.99875e+13,-5.55283e+12,4.99875e+13,1149.37,251.841,-1149.37,5.32701e-05,1.16891e-05,-5.32701e-05
2e+30,-4.99875e+13,5.55283e+12,-4.99875e+13,1149.37,-251.841,1149.37,5.32701e-05,-1.16891e-05,5.32701e-05
2e+30,-4.99861e+13,5.5526e+12,-3.88791e+13,1282.76,-273.341,900.022,5.94509e-05,-1.26866e-05,4.1719e-05
2e+30,-4.99856e+13,5.55255e+12,-2.77703e+13,1327.63,-277.423,691.635,6.15295e-05,-1.2876e-05,3.20658e-05
2e+30,-4.99858e+13,5.55257e+12,-1.66614e+13,1313.29,-276.236,489.531,6.0864e-05,-1.28208e-05,2.27029e-05
2e+30,-4.99867e+13,5.55267e+12,-5.55267e+12,1231.4,-267.063,267.063,5.7068e-05,-1.23946e-05,1.23946e-05
2e+30,-4.99867e+13,5.55267e+12,5.55267e+12,1231.4,-267.063,-267.063,5.7068e-05,-1.23946e-05,-1.23946e-05
2e+30,-4.99858e+13,5.55257e+12,1.66614e+13,1313.29,-276.236,-489.531,6.0864e-05,-1.28208e-05,-2.27029e-05
2e+30,-4.99856e+13,5.55255e+12,2.77703e+13,1327.63,-277.423,-691.635,6.15295e-05,-1.2876e-05,-3.20658e-05
2e+30,-4.99861e+13,5.5526e+12,3.88791e+13,1282.76,-273.341,-900.022,5.94509e-05,-1.26866e-05,-4.1719e-05
2e+30,-4.99875e+13,5.55283e+12,4.99875e+13,1149.37,-251.841,-1149.37,5.32701e-05,-1.16891e-05,-5.32701e-05
2e+30,-4.99867e+13,1.66617e+13,-4.99867e+13,1224.54,-458.643,1224.54,5.67558e-05,-2.1272e-05,5.67558e-05
2e+30,-4.99852e+13,1.66612e+13,-3.88785e+13,1369.39,-506.5,958.725,6.34674e-05,-2.34912e-05,4.44414e-05
2e+30,-4.99846e+13,1.66611e+13,-2.77698e+13,1418.56,-520.147,733.857,6.57452e-05,-2.41239e-05,3.40244e-05
2e+30,-4.99848e+13,1.66611e+13,-1.66611e+13,1402.83,-515.892,515.892,6.50153e-05,-2.39262e-05,2.39262e-05
2e+30,-4.99858e+13,1.66614e+13,-5.55257e+12,1313.29,-489.531,276.236,6.0864e-05,-2.27029e-05,1.28208e-05
2e+30,-4.99858e+13,1.66614e+13,5.55257e+12,1313.29,-489.531,-276.236,6.0864e-05,-2.27029e-05,-1.28208e-05
2e+30,-4.99848e+13,1.66611e+13,1.66611e+13,1402.83,-515.892,-515.892,6.50153e-05,-2.39262e-05,-2.39262e-05
2e+30,-4.99846e+13,1.66611e+13,2.77698e+13,1418.56,-520.147,-733.857,6.57452e-05,-2.41239e-05,-3.40244e-05
2e+30,-4.99852e+13,1.66612e+13,3.88785e+13,1369.39,-506.5,-958.725,6.34674e-05,-2.34912e-05,-4.44414e-05
2e+30,-4.99867e+13,1.66617e+13,4.99867e+13,1224.54,-458.643,-1224.54,5.67558e-05,-2.1272e-05,-5.67558e-05
2e+30,-4.99866e+13,2.77708e+13,-4.99866e+13,1237.78,-648.53,1237.78,5.73701e-05,-3.00692e-05,5.73701e-05
2e+30,-4.9985e+13,2.777e+13,-3.88784e+13,1384.57,-718.099,969.331,6.41718e-05,-3.32946e-05,4.49336e-05
2e+30,-4.99844e+13,2.77698e+13,-2.77698e+13,1434.55,-741.287,741.287,6.64874e-05,-3.43693e-05,3.43693e-05
2e+30,-4.99846e+13,2.77698e+13,-1.66611e+13,1418.56,-733.857,520.147,6.57452e-05,-3.40244e-05,2.41239e-05
2e+30,-4.99856e+13,2.77703e+13,-5.55255e+12,1327.63,-691.635,277.423,6.15295e-05,-3.20658e-05,1.2876e-05
2e+30,-4.99856e+13,2.77703e+13,5.55255e+12,1327.63,-691.635,-277.423,6.15295e-05,-3.20658e-05,-1.2876e-05
2e+30,-4.99846e+13,2.77698e+13,1.66611e+13,1418.56,-733.857,-520.147,6.57452e-05,-3.40244e-05,-2.41239e-05
2e+30,-4.99844e+13,2.77698e+13,2.77698e+13,1434.55,-741.287,-741.287,6.64874e-05,-3.43693e-05,-3.43693e-05
2e+30,-4.9985e+13,2.777e+13,3.88784e+13,1384.57,-718.099,-969.331,6.41718e-05,-3.32946e-05,-4.49336e-05
2e+30,-4.99866e+13,2.77708e+13,4.99866e+13,1237.78,-648.53,-1237.78,5.73701e-05,-3.00692e-05,-5.73701e-05
2e+30,-4.9987e+13,3.88798e+13,-4.9987e+13,1196.43,-843.567,1196.43,5.54536e-05,-3.91039e-05,5.54536e-05
2e+30,-4.99855e+13,3.88787e+13,-3.88787e+13,1337.07,-936.474,936.474,6.19713e-05,-4.34108e-05,4.34108e-05
2e+30,-4.9985e+13,3.88784e+13,-2.777e+13,1384.57,-969.331,718.099,6.41718e-05,-4.49336e-05,3.32946e-05
2e+30,-4.99852e+13,3.88785e+13,-1.66612e+13,1369.39,-958.725,506.5,6.34674e-05,-4.44414e-05,2.34912e-05
2e+30,-4.99861e+13,3.88791e+13,-5.5526e+12,1282.76,-900.022,273.341,5.94509e-05,-4.1719e-05,1.26866e-05
2e+30,-4.99861e+13,3.88791e+13,5.5526e+12,1282.76,-900.022,-273.341,5.94509e-05,-4.1719e-05,-1.26866e-05
2e+30,-4.99852e+13,3.88785e+13,1.66612e+13,1369.39,-958.725,-506.5,6.34674e-05,-4.44414e-05,-2.34912e-05
2e+30,-4.9985e+13,3.88784e+13,2.777e+13,1384.57,-969.331,-718.099,6.41718e-05,-4.49336e-05,-3.32946e-05
2e+30,-4.99855e+13,3.88787e+13,3.88787e+13,1337.07,-936.474,-936.474,6.19713e-05,-4.34108e-05,-4.34108e-05
2e+30,-4.9987e+13,3.88798e+13,4.9987e+13,1196.43,-843.567,-1196.43,5.54536e-05,-3.91039e-05,-5.54536e-05
2e+30,-4.99884e+13,4.99884e+13,-4.99884e+13,1074.36,-1074.36,1074.36,4.97956e-05,-4.97956e-05,4.97956e-05
2e+30,-4.9987e+13,4.9987e+13,-3.88798e+13,1196.43,-1196.43,843.567,5.54536e-05,-5.54536e-05,3.91039e-05
2e+30,-4.99866e+13,4.99866e+13,-2.77708e+13,1237.78,-1237.78,648.53,5.73701e-05,-5.73701e-05,3.00692e-05
